Protocol,Round,ConsensusError,GradientNorm,Normalized_Energy
Ours,0,10.758508275913895,0.5028589982793188,0.9977114520253201
Ours,1,10.258978927582389,0.37435499464731503,0.9964412857095222
Ours,2,9.827791889117947,0.3487081376757171,0.995103094758518
Ours,3,9.436578687489979,0.3223802800777366,0.9937643690968925
Ours,4,9.072704835776484,0.29456164263674994,0.9924289331979277
Ours,5,8.937660835114276,0.2699568132399652,0.991095878543264
Ours,6,8.937120108105896,0.2484239771749774,0.989764670284097
Ours,7,8.936580412874804,0.23981714179066338,0.9884349514880931
Ours,8,8.93604206118805,0.23978161261494957,0.9871064651214474
Ours,9,8.935505270872946,0.2397462646946764,0.9857790172884409
Ours,10,8.934970200379555,0.23971109624086587,0.9844524571636235
Ours,11,8.934436967649647,0.23967610549063936,0.9831266647758248
Ours,12,8.933905661623907,0.23964129070671508,0.9818015430058157
Ours,13,8.933376349799998,0.23960665017691687,0.9804770120811045
Ours,14,8.932849083446936,0.23957218221369592,0.9791530056562494
Ours,15,8.932323901327209,0.2395378851536622,0.9778294679488901
Ours,16,8.931800832422221,0.2395037573571285,0.976506351603311
Ours,17,8.931279897968396,0.2394697972076641,0.9751836160686994
Ours,18,8.930761113004378,0.23943600311165905,0.9738612263494659
Ours,19,8.930244487563511,0.23940237349789917,0.972539152029459
Ours,20,8.929730027604897,0.23936890681714995,0.9712173665010169
Ours,21,8.929217735748278,0.23933560154175085,0.9698958463494313
Ours,22,8.928707611860132,0.23930245616521834,0.9685745708567685
Ours,23,8.928199653525175,0.23926946920185838,0.9672535215984671
Ours,24,8.927693856428903,0.2392366391863874,0.9659326821127168
Ours,25,8.92719021467005,0.23920396467356195,0.9646120376275388
Ours,26,8.92668872101792,0.23917144423781697,0.9632915748339532
Ours,27,8.926189367125316,0.2391390764729116,0.9619712816962575
Ours,28,8.925692143705799,0.2391068599915834,0.9606511472923975
Ours,29,8.925197040682297,0.23907479342520999,0.9593311616789214
Ours,30,8.924704047312034,0.2390428754234782,0.9580113157760944
Ours,31,8.92421315229212,0.23901110465406067,0.9566916012696984
Ours,32,8.923724343849338,0.23897947980229933,0.955372010526668
