Protocol,Scale,Run,HND,EnergyEfficiency,DeliveryRatio,ConvergenceTime_ms,JainsFairness,RamKB,RomKB
LEACH,300,1,420.71701411614856,0.10253089042025623,0.5599426938515352,3000.0,0.7846981267845318,3.0,16.0
LEACH,300,2,424.6463588089712,0.10245327783119675,0.5601319121330073,3000.0,0.7673641994748928,3.0,16.0
LEACH,300,3,422.5328794718878,0.10279725697824076,0.5616316861458368,3000.0,0.7930633673884913,3.0,16.0
LEACH,300,4,420.79399653574285,0.10316320141514411,0.5655336509662695,3000.0,0.7831549328357714,3.0,16.0
LEACH,300,5,422.0462397837533,0.10320411765909719,0.5640389143943233,3000.0,0.7921390311807572,3.0,16.0
LEACH,300,6,423.8449244705769,0.10284857184393731,0.5612899108925412,3000.0,0.7984097220690881,3.0,16.0
LEACH,300,7,422.52439519772895,0.10255542732729313,0.5632651202646951,3000.0,0.7913022799434715,3.0,16.0
LEACH,300,8,422.8474606121999,0.1025644892083012,0.5620213134994898,3000.0,0.7873600749219309,3.0,16.0
LEACH,300,9,420.74297903481124,0.10280331207457355,0.5651241056413625,3000.0,0.7918119251984258,3.0,16.0
LEACH,300,10,425.1590270738673,0.10345767457751505,0.5647887274376387,3000.0,0.7806019363241938,3.0,16.0
LEACH,300,11,421.9502715183662,0.10251936962953685,0.5620024901535928,3000.0,0.7808705788914551,3.0,16.0
LEACH,300,12,423.10590316607744,0.10280856258710774,0.5615042914584668,3000.0,0.7806144747665638,3.0,16.0
LEACH,300,13,419.0178695537931,0.10259842110690141,0.5630407253659989,3000.0,0.7772793494358035,3.0,16.0
LEACH,300,14,419.1882390932148,0.10294222339654453,0.5631535791316803,3000.0,0.7884891121570607,3.0,16.0
LEACH,300,15,420.5188649706039,0.10264729733246573,0.5633300185656108,3000.0,0.7786571454124994,3.0,16.0
LEACH,300,16,421.89952709859244,0.10357605511946476,0.5640208251002926,3000.0,0.7847389762115927,3.0,16.0
LEACH,300,17,420.6271014473737,0.1026419557545818,0.5634041864664558,3000.0,0.7800418933765372,3.0,16.0
LEACH,300,18,421.38408850331996,0.1032822004609226,0.5645471296084609,3000.0,0.7978497846228434,3.0,16.0
