Protocol,Round,ConsensusError,GradientNorm,Normalized_Energy
Ours,0,10.864160028155174,0.5052546023874351,0.9977349120285623
Ours,1,10.142319417168695,0.2915541120580456,0.9964801538355013
Ours,2,9.473728318695885,0.2778025750923132,0.9951611971033614
Ours,3,8.859967063673468,0.25260168104101016,0.9938427289286956
Ours,4,8.300558797281935,0.22305311133997555,0.9925271504624762
Ours,5,7.793241807259863,0.1964952771002344,0.9912136144938273
Ours,6,7.334668869146678,0.1739335447992323,0.9899016290559504
Ours,7,6.920909899811887,0.1552006952155692,0.9885908720154225
Ours,8,6.547823586644947,0.13976022507520758,0.9872811158425128
Ours,9,6.211305280811518,0.12702738230514676,0.9859721920003972
Ours,10,5.907439739512713,0.1164803330023334,0.9846639716554667
Ours,11,5.632586460002185,0.10768693522465511,0.9833563540755413
Ours,12,5.383419679255343,0.10030066225853357,0.9820492591088428
Ours,13,5.1569391538522416,0.09404734221568332,0.9807426220479571
Ours,14,4.950462938063318,0.08871092442217465,0.9794363899921924
Ours,15,4.7616097283106855,0.08412100117572384,0.9781305192021665
Ours,16,4.588275753565998,0.08014268083574329,0.9768249731370188
Ours,17,4.4286094081428695,0.07666864953561847,0.9755197209748407
Ours,18,4.28098561884175,0.07361304568149084,0.9742147364826205
Ours,19,4.143981137075965,0.07090676162110644,0.9729099971434513
Ours,20,4.016351421109964,0.06849384226993928,0.9716054834757432
Ours,21,3.8970094344684214,0.06632871778383383,0.9703011784974668
Ours,22,3.7850064723386674,0.064374068029961,0.968997067301059
Ours,23,3.6795149964390004,0.06259916585089928,0.9676931367135457
Ours,24,3.579813382006228,0.060978584220977246,0.9663893750228084
Ours,25,3.485272439197917,0.059491181185418955,0.9650857717555975
Ours,26,3.395343552552125,0.05811929797521193,0.9637823174962816
Ours,27,3.3095482777064946,0.056848121671178795,0.9624790037379082
Ours,28,3.236372438937619,0.05566517565752543,0.961175822759035
Ours,29,3.207526416983557,0.05455990993185056,0.9598727675212373
Ours,30,3.1787262829713963,0.05352336992552767,0.9585698315833254
Ours,31,3.149947895916535,0.0525479274250384,0.9572670090291052
