Protocol,Round,Jains_Index
LEACH,0,0.9960290822362902
LEACH,6,0.995605434132115
LEACH,12,0.9947139278553847
LEACH,18,0.9933117307634692
LEACH,24,0.99286764111748
LEACH,30,0.9922246000855742
LEACH,36,0.9910401729246555
LEACH,42,0.9899578844948381
LEACH,48,0.9889899502699125
LEACH,54,0.9874061641438275
LEACH,60,0.9855219170652636
LEACH,66,0.9848664197011873
LEACH,72,0.983557362225752
LEACH,78,0.9815245821117857
LEACH,84,0.9800020412763232
LEACH,90,0.9779634437357638
LEACH,96,0.9750727058630622
LEACH,102,0.9725393555326106
LEACH,108,0.9704102850005294
LEACH,114,0.967335635912005
LEACH,120,0.9636871365631712
LEACH,126,0.9613886931849359
LEACH,132,0.9580308491865994
LEACH,138,0.9535093230127056
LEACH,144,0.9500618041900047
LEACH,150,0.9458262467159804
LEACH,156,0.9402021254600025
LEACH,162,0.9350705053829154
LEACH,168,0.9305116482337737
LEACH,174,0.9244342851817883
LEACH,180,0.9179193101331786
LEACH,186,0.9128523979234904
LEACH,192,0.9069328499073555
LEACH,198,0.8998606857768341
LEACH,204,0.8945455601413248
LEACH,210,0.8880820794933247
LEACH,216,0.8794214695278089
LEACH,222,0.8701369993261804
LEACH,228,0.8627123683790425
LEACH,234,0.8541190644863347
LEACH,240,0.8440482950901431
LEACH,246,0.8357650730906171
LEACH,252,0.8259170892069472
LEACH,258,0.8146067361637085
LEACH,264,0.8022765047715688
LEACH,270,0.7867150492935678
LEACH,276,0.7712719597639488
LEACH,282,0.7581917498636501
LEACH,288,0.7448748799135447
LEACH,294,0.7294642688230636
HEED,0,0.9960311198748697
HEED,6,0.9958333362134169
HEED,12,0.9955578964268278
HEED,18,0.9951965104583289
HEED,24,0.9949097844565702
HEED,30,0.9945748409345059
HEED,36,0.994150889663177
HEED,42,0.9937418790170708
HEED,48,0.9933393792799383
HEED,54,0.9928178874052999
HEED,60,0.9922395714515705
HEED,66,0.9919159126965997
HEED,72,0.9914653466960412
HEED,78,0.990871318575968
HEED,84,0.9904487304041971
HEED,90,0.9899685726458147
HEED,96,0.9893529741028295
HEED,102,0.9886894757709929
HEED,108,0.987973110264129
HEED,114,0.987081221815654
HEED,120,0.9860637775282207
HEED,126,0.9852248926863981
HEED,132,0.9841855956341921
HEED,138,0.9829154793545468
HEED,144,0.9816639074237745
HEED,150,0.9801899813557994
HEED,156,0.9783940918880379
HEED,162,0.9766229014213799
HEED,168,0.9749020782484725
HEED,174,0.9728019829176966
HEED,180,0.9704155392335986
HEED,186,0.9683684985219302
HEED,192,0.9658160135074305
HEED,198,0.9626559680355594
HEED,204,0.959342908194515
HEED,210,0.9553872680424826
HEED,216,0.9505213505059938
HEED,222,0.9454320236224067
HEED,228,0.9399937300136927
HEED,234,0.9330495077268395
HEED,240,0.9246409697620663
HEED,246,0.9162044789390394
HEED,252,0.9056828504823224
HEED,258,0.8926052954813254
HEED,264,0.8781859093069149
HEED,270,0.8610631524222024
HEED,276,0.840714827316648
HEED,282,0.8172125230432472
