Protocol,Round,ConsensusError,GradientNorm,Normalized_Energy
Ours,0,10.987895312444518,0.46291533670456914,0.9977196698652234
Ours,1,10.987368520387244,0.32219775494859265,0.9964496374198386
Ours,2,10.986624807679238,0.3260980823317118,0.9951136458079869
Ours,3,10.985839033827203,0.32892769407196254,0.9937759237361812
Ours,4,10.985059634573268,0.3288596145414889,0.9924413503729801
Ours,5,10.984281244875598,0.32879189669793,0.991109012796928
Ours,6,10.983504712096208,0.3287245368592761,0.9897783587956798
Ours,7,10.982730534237641,0.3286575313987225,0.9884490175124615
Ours,8,10.981959033379097,0.3285908767435792,0.9871207235773132
Ours,9,10.981190429224391,0.32852456937420704,0.9857932794402511
Ours,10,10.980424875729788,0.328458605822979,0.9844665340904512
Ours,11,10.979662481863853,0.3283929826732678,0.9831403698533766
Ours,12,10.97890332452215,0.3283276965584574,0.9818146936506433
Ours,13,10.97814745709252,0.3282627441609778,0.9804894309472614
Ours,14,10.977394915390807,0.3281981222113637,0.9791645214227487
Ours,15,10.976645721904568,0.3281338274873352,0.9778399158004367
Ours,16,10.975899888896647,0.32806985681290024,0.9765155734820854
Ours,17,10.975157420715174,0.3280062070574779,0.9751914607571311
Ours,18,10.974418315536766,0.327942875135043,0.9738675494302634
Ours,19,10.973682566697684,0.3278798580032901,0.9725438157584223
Ours,20,10.97295016372031,0.3278171526628169,0.9712202396197104
Ours,21,10.972221093111825,0.32775475615632715,0.9698968038580751
Ours,22,10.971495338990751,0.3276926655678511,0.9685734937625257
Ours,23,10.970772883581906,0.32763087802198426,0.9672502966502691
Ours,24,10.970053707610083,0.3275693906831437,0.9659272015307403
Ours,25,10.969337790615244,0.32750820075484105,0.9646041988331325
Ours,26,10.968625111206121,0.32744730547897144,0.9632812801840727
Ours,27,10.967915647265485,0.32738670213511983,0.9619584382252186
Ours,28,10.967209376116939,0.3273263880398811,0.9606356664627963
Ours,29,10.966506274661262,0.327266360546197,0.9593129591428684
Ours,30,10.965806319487976,0.3272066170427065,0.9579903111474323
Ours,31,10.965109486967206,0.32714715495311136,0.9566677179074822
Ours,32,10.96441575332547,0.32708797173555565,0.9553451753299336
Ours,33,10.963725094708279,0.3270290648820181,0.9540226797359616
Ours,34,10.963037487232194,0.3269704319177188,0.9527002278087354
Ours,35,10.96235290702784,0.326912070400538,0.9513778165489648
Ours,36,10.96167133027586,0.32685397792044774,0.9500554432369235
Ours,37,10.960992733236731,0.3267961520989561,0.9487331053999059
Ours,38,10.960317092275565,0.32673859058856264,0.9474108007842136
Ours,39,10.959644383882882,0.32668129107222627,0.9460885273309789
Ours,40,10.95897458469167,0.3266242512628439,0.9447662831552072
Ours,41,10.95830767149178,0.3265674689027403,0.9434440665275458
Ours,42,10.957643621241619,0.32651094176316914,0.9421218758583931
Ours,43,10.956982411077938,0.3264546676438235,0.9407997096839668
Ours,44,10.95632401832375,0.3263986443723581,0.9394775666540783
Ours,45,10.955668420494895,0.3263428698039199,0.9381554455213525
Ours,46,10.955015595305197,0.3262873418206901,0.9368333451317028
Ours,47,10.954365520670619,0.3262320583314338,0.935511264415879
Ours,48,10.953718174712522,0.3261770172710607,0.9341892023819532
Ours,49,10.953073535760117,0.3261222166001934,0.9328671581086144
Ours,50,10.952471464477032,0.32606765430474594,0.931545131751435
Ours,51,10.951871888822017,0.3260133283955093,0.9302231225080504
Ours,52,10.951274789539617,0.32595923690774636,0.9289011296306056
Ours,53,10.950680147537133,0.32590537790079527,0.9275791524213863
Ours,54,10.95008794388743,0.3258517494576797,0.9262571902288695
Ours,55,10.949498159831046,0.32579834968472793,0.924935242444148
Ours,56,10.948910776778026,0.32574517671119896,0.9236133084976837
Ours,57,10.948325776309156,0.32569222868891656,0.922291387856352
Ours,58,10.947743140176861,0.3256395037919097,0.9209694800207473
Ours,59,10.947162850305899,0.32558700021606113,0.9196475845227288
Ours,60,10.946584888793577,0.3255347161787623,0.9183257009231639
Ours,61,10.946009237909855,0.32548264991857473,0.917003828809872
Ours,62,10.945435880097223,0.3254307996948988,0.9156819677957244
Ours,63,10.944864797970281,0.3253791637876483,0.9143601175169118
Ours,64,10.944295974315214,0.32532774049693153,0.9130382776313365
Ours,65,10.943729392089194,0.32527652814273844,0.9117164478171368
Ours,66,10.943165034419462,0.32522552506463415,0.9103946277713242
Ours,67,10.94260288460247,0.3251747296214576,0.9090728172085253
Ours,68,10.942042926102832,0.325124140191027,0.9077510158598143
Ours,69,10.941485142552164,0.32507375516984954,0.9064292234716337
Ours,70,10.940929517747957,0.32502357297283807,0.9051074398047959
Ours,71,10.94037603565221,0.32497359203303156,0.903785664633554
Ours,72,10.93982468039017,0.3249238108013223,0.9024638977447377
Ours,73,10.939275436248916,0.3248742277461874,0.9011421389369582
Ours,74,10.93872828767594,0.32482484135342504,0.8998203880198566
Ours,75,10.938183219277668,0.3247756501258963,0.8984986448134148
