Protocol,Round,Jains_Index
LEACH,0,0.9960387516727732
LEACH,6,0.9958489285459136
LEACH,12,0.9955196368679459
LEACH,18,0.9950391150424749
LEACH,24,0.9947798850467597
LEACH,30,0.9944448245047893
LEACH,36,0.9939457483495329
LEACH,42,0.9936237329980332
LEACH,48,0.9934959592090004
LEACH,54,0.9932030373161725
LEACH,60,0.992781739171376
LEACH,66,0.9924367680594284
LEACH,72,0.9918964885082093
LEACH,78,0.9911419817116786
LEACH,84,0.9905621667596651
LEACH,90,0.989837361048332
LEACH,96,0.9888658548235629
LEACH,102,0.9880191162638104
LEACH,108,0.9873123923682123
LEACH,114,0.9863373081465706
LEACH,120,0.9851679096391821
LEACH,126,0.9842094302048957
LEACH,132,0.9829368757667621
LEACH,138,0.9813158422763328
LEACH,144,0.9806247028105372
LEACH,150,0.9798848351590735
LEACH,156,0.9788056120782549
LEACH,162,0.9775661012840227
LEACH,168,0.9761483411942079
LEACH,174,0.9742917285130394
LEACH,180,0.9722276353682132
LEACH,186,0.9711298565833841
LEACH,192,0.9695753860593581
LEACH,198,0.9675010424580973
LEACH,204,0.9662491568010999
LEACH,210,0.9647648564509773
LEACH,216,0.9627024604670593
LEACH,222,0.9597897610615718
LEACH,228,0.9558987051390365
LEACH,234,0.951090015874589
LEACH,240,0.9459941543589957
LEACH,246,0.943804710618148
LEACH,252,0.9407990481176309
LEACH,258,0.9368338371870879
LEACH,264,0.9321964815588112
LEACH,270,0.9263935905670091
LEACH,276,0.9191231340162118
LEACH,282,0.910585706191767
LEACH,288,0.9005791540547164
LEACH,294,0.8913076250870368
HEED,0,0.9960460217368395
HEED,6,0.9959565310386364
HEED,12,0.995831178821345
HEED,18,0.9956675977569927
HEED,24,0.9955428674726292
HEED,30,0.9954080053766011
HEED,36,0.9952470603194761
HEED,42,0.9950894575201757
HEED,48,0.9949309234861248
HEED,54,0.9947374118403501
HEED,60,0.9945322611808357
HEED,66,0.9944219135306925
HEED,72,0.9942802238060252
HEED,78,0.9941050108072986
HEED,84,0.9939849858536647
HEED,90,0.9938497705411921
HEED,96,0.9936791984768973
HEED,102,0.9935188948626859
HEED,108,0.993366844553544
HEED,114,0.9931720788205063
HEED,120,0.992947217040977
HEED,126,0.9927552917187322
HEED,132,0.9925154429908496
HEED,138,0.9922238931870904
HEED,144,0.9920024944711959
HEED,150,0.9917363513185585
HEED,156,0.9913932649843034
HEED,162,0.9910678880064927
HEED,168,0.9907782213403526
HEED,174,0.9904258930686953
HEED,180,0.9900217844113373
HEED,186,0.9896217291698175
HEED,192,0.9891350425524698
HEED,198,0.9885538226868371
HEED,204,0.9882305928924824
HEED,210,0.9878939386232171
HEED,216,0.9874656820152703
HEED,222,0.9870718034018916
HEED,228,0.9867333594800566
